,clip,annotator_id,prolific_user,annotator_gender,annotator_origin,movies_recognition,actors_recognition,experim_group,intensity,variability,gender,frame_start,movie,quartile,sum,exp_sum,face_id,type
89,15217_21_bright,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,6,6,Male,15217,BrightStarAM,q2,6.151729987161423,0.0351057825658173,6,A
90,141753_335_allornothing,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,4,2,Female,141753,AllOrNothingAM,q4,12.302554669315496,0.0743092966755101,149,A
91,141753_335_allornothing,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,6,3,Female,141753,AllOrNothingAM,q4,12.302554669315496,0.0743092966755101,149,A
92,141753_335_allornothing,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,6,5,Female,141753,AllOrNothingAM,q4,12.302554669315496,0.0743092966755101,149,A
93,141753_335_allornothing,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,6,Female,141753,AllOrNothingAM,q4,12.302554669315496,0.0743092966755101,149,A
94,141753_335_allornothing,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,4,Female,141753,AllOrNothingAM,q4,12.302554669315496,0.0743092966755101,149,A
95,116024_345_copy,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,2,Male,116024,CertifiedCopyAM,q1,4.463139304462913,0.0241178071288439,127,A
96,116024_345_copy,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,2,Male,116024,CertifiedCopyAM,q1,4.463139304462913,0.0241178071288439,127,A
97,116024_345_copy,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,3,Female,116024,CertifiedCopyAM,q1,4.463139304462913,0.0241178071288439,127,A
98,116024_345_copy,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,2,Female,116024,CertifiedCopyAM,q1,4.463139304462913,0.0241178071288439,127,A
99,116024_345_copy,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,2,2,Female,116024,CertifiedCopyAM,q1,4.463139304462913,0.0241178071288439,127,A
100,110721_194_spider,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Male,110721,SpiderAM,q2,6.610207435512337,0.0368972219039316,94,A
101,110721_194_spider,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,1,Male,110721,SpiderAM,q2,6.610207435512337,0.0368972219039316,94,A
102,110721_194_spider,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,2,2,Male,110721,SpiderAM,q2,6.610207435512337,0.0368972219039316,94,A
103,110721_194_spider,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,4,Male,110721,SpiderAM,q2,6.610207435512337,0.0368972219039316,94,A
104,110721_194_spider,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,1,Male,110721,SpiderAM,q2,6.610207435512337,0.0368972219039316,94,A
105,101065_166_bright,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,1,Female,101065,BrightStarAM,q4,16.273852595013942,0.0994237004371439,65,A
106,101065_166_bright,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,2,3,Female,101065,BrightStarAM,q4,16.273852595013942,0.0994237004371439,65,A
107,101065_166_bright,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,4,Female,101065,BrightStarAM,q4,16.273852595013942,0.0994237004371439,65,A
108,101065_166_bright,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,3,4,Female,101065,BrightStarAM,q4,16.273852595013942,0.0994237004371439,65,A
109,101065_166_bright,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,4,Female,101065,BrightStarAM,q4,16.273852595013942,0.0994237004371439,65,A
110,41513_57_clean,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Female,41513,CleanAM,q1,5.487732923664706,0.0300528726480822,28,A
111,41513_57_clean,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,1,1,Female,41513,CleanAM,q1,5.487732923664706,0.0300528726480822,28,A
112,41513_57_clean,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,2,2,I cannot tell,41513,CleanAM,q1,5.487732923664706,0.0300528726480822,28,A
113,41513_57_clean,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,4,1,Female,41513,CleanAM,q1,5.487732923664706,0.0300528726480822,28,A
114,41513_57_clean,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,3,2,Female,41513,CleanAM,q1,5.487732923664706,0.0300528726480822,28,A
115,44693_130_copy,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Female,44693,CertifiedCopyAM,q2,5.633386824641748,0.0315626533959753,54,A
116,44693_130_copy,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,5,1,Female,44693,CertifiedCopyAM,q2,5.633386824641748,0.0315626533959753,54,A
117,44693_130_copy,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,5,3,Female,44693,CertifiedCopyAM,q2,5.633386824641748,0.0315626533959753,54,A
118,44693_130_copy,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,1,Female,44693,CertifiedCopyAM,q2,5.633386824641748,0.0315626533959753,54,A
119,44693_130_copy,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,3,Female,44693,CertifiedCopyAM,q2,5.633386824641748,0.0315626533959753,54,A
120,86585_197_allornothing,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,3,2,Female,86585,AllOrNothingAM,q2,6.8134268773370215,0.0389601384186422,69,A
121,86585_197_allornothing,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,4,2,Female,86585,AllOrNothingAM,q2,6.8134268773370215,0.0389601384186422,69,A
122,86585_197_allornothing,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,3,4,Female,86585,AllOrNothingAM,q2,6.8134268773370215,0.0389601384186422,69,A
123,86585_197_allornothing,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,6,4,Female,86585,AllOrNothingAM,q2,6.8134268773370215,0.0389601384186422,69,A
124,86585_197_allornothing,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,6,3,Female,86585,AllOrNothingAM,q2,6.8134268773370215,0.0389601384186422,69,A
125,90361_245_newyork,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,2,2,Female,90361,SynecdocheAM,q1,3.2262250303143074,0.0182631767990024,91,A
126,90361_245_newyork,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,3,1,Female,90361,SynecdocheAM,q1,3.2262250303143074,0.0182631767990024,91,A
127,90361_245_newyork,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,1,2,Female,90361,SynecdocheAM,q1,3.2262250303143074,0.0182631767990024,91,A
128,90361_245_newyork,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,3,6,Female,90361,SynecdocheAM,q1,3.2262250303143074,0.0182631767990024,91,A
129,90361_245_newyork,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,6,4,Female,90361,SynecdocheAM,q1,3.2262250303143074,0.0182631767990024,91,A
130,74601_168_click,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,5,3,Female,74601,ClickHM,q1,7.699302804992047,0.0459591471037427,508,H
131,74601_168_click,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,6,6,Female,74601,ClickHM,q1,7.699302804992047,0.0459591471037427,508,H
132,74601_168_click,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,4,5,Female,74601,ClickHM,q1,7.699302804992047,0.0459591471037427,508,H
133,74601_168_click,R_6IYHUEepiTMixB8,0,Male,Middle-eastern,Many,Many,1,2,3,Female,74601,ClickHM,q1,7.699302804992047,0.0459591471037427,508,H
134,74601_168_click,R_2gMZWe45lUBEG4G,1,Female,Western (European),I did not recognise any,Several,1,4,5,Female,74601,ClickHM,q1,7.699302804992047,0.0459591471037427,508,H
135,51617_67_clean,R_4D60W3B6wX1h9Xx,0,Male,Western (European),A few,A few,1,1,1,Female,51617,CleanAM,q1,4.462915514737913,0.0250227384654315,36,A
136,51617_67_clean,R_4qQMLscNluEpaap,0,Male,Western (European),Several,Many,1,2,1,Female,51617,CleanAM,q1,4.462915514737913,0.0250227384654315,36,A
137,51617_67_clean,R_352CHoQuTIcxeX7,0,Male,Western (European),A few,Several,1,2,1,Female,51617,CleanAM,q1,4.462915514737913,0.0250227384654315,36,A
